array_size,num_threads,bucket_capacity,random_time,distribute_time,sort_time,rewrite_time,total_time
4096,12,64,0.0088722658,0.0151092693,0.0048445526,0.0044315818,0.0243974808
4096,12,256,0.0100825603,0.0181362438,0.0060577493,0.0052290157,0.0294259555
4096,12,1024,0.0048678802,0.0085878748,0.0024896642,0.0028183227,0.0138972329
4096,12,4096,0.0116890177,0.0257349106,0.0081520073,0.0081070329,0.0419949899
4096,12,16384,0.0048675776,0.0048936209,0.0019227465,0.0016210324,0.0084383991
4096,12,65536,0.0120843699,0.0225266425,0.0073401884,0.0076328983,0.0375009173
16384,1,16,0.0001117929,0.0003957568,0.0005359856,0.0000571341,0.0010041886
16384,1,64,0.0000994266,0.0003600304,0.0007821603,0.0000467102,0.0011947971
16384,1,256,0.0000999669,0.0003527536,0.0010234889,0.0000436067,0.0014216097
16384,1,1024,0.0000996193,0.0003504314,0.0012446408,0.0000431861,0.0016389384
16384,1,4096,0.0000990507,0.0003474584,0.0014674551,0.0000427494,0.0018581146
16384,1,16384,0.0000997273,0.0003493918,0.0016910539,0.0000431562,0.0020839352
16384,1,65536,0.0000989855,0.0003466945,0.0016875348,0.0000430164,0.0020775466
16384,2,16,0.0000560687,0.0006565346,0.0002766105,0.0000334438,0.0009966344
16384,2,64,0.0000560150,0.0007337757,0.0004029152,0.0000251189,0.0011725519
16384,2,256,0.0000563540,0.0008333459,0.0005227703,0.0000235727,0.0013834808
16384,2,1024,0.0000564244,0.0009261229,0.0006318848,0.0000230220,0.0015821945
16384,2,4096,0.0000561219,0.0010232229,0.0007520948,0.0000227016,0.0017985641
16384,2,16384,0.0000559353,0.0012838497,0.0017043892,0.0000433369,0.0030319911
16384,2,65536,0.0000557640,0.0014047080,0.0017051802,0.0000435815,0.0031537733
16384,4,16,0.0000447549,0.0008827009,0.0001522329,0.0000289394,0.0011017315
16384,4,64,0.0000442745,0.0010329703,0.0002150869,0.0000199597,0.0012865641
16384,4,256,0.0000457000,0.0012743714,0.0002765386,0.0000183764,0.0015763821
16384,4,1024,0.0000449649,0.0017034627,0.0003336891,0.0000173908,0.0020568561
16384,4,4096,0.0000436669,0.0016597396,0.0003925860,0.0000163647,0.0020697405
16384,4,16384,0.0000439440,0.0019343752,0.0017100090,0.0000489684,0.0036937550
16384,4,65536,0.0000453149,0.0018130846,0.0017159556,0.0000473695,0.0035767859
16384,8,16,0.0000496985,0.0006892559,0.0000868089,0.0000271620,0.0008507853
16384,8,64,0.0000487181,0.0008735525,0.0001178803,0.0000190266,0.0010343886
16384,8,256,0.0000485708,0.0009582371,0.0001506506,0.0000141172,0.0011311165
16384,8,1024,0.0000482068,0.0014155078,0.0001816792,0.0000136607,0.0016136888
16384,8,4096,0.0000509988,0.0018174980,0.0003950425,0.0000188003,0.0022328690
16384,8,16384,0.0000462578,0.0017781825,0.0017198414,0.0000505432,0.0035491597
16384,8,65536,0.0000480365,0.0018150321,0.0017399990,0.0000508895,0.0036070778
